country,total,curriculum_laws,family_planning,sex_edu,hiv_rate,pregnancy_rate,contracept_prev,youth_hiv,matern_mort,total_life_exp,female_life_exp,percent_urban_pop,med_age,human_devel_index,democ,autoc,polity,inequality_coef,youth_depend_ratio,gend_ineq_index,phc_expend,gov_expend,gdp_capita,reprod_health_expend,family_plann_expend,state_frag_index,region,pop_count,youth_literacy_rate,poverty_rate,school_enroll_girls,income_group,region_name
Gambia,83,100,100,100,488945.0974,86,9,500,597,62.383,63.827,61.3,17.8,0.466,4,0,4,36.4,83.3,0.62,NA,24.549119949999998,709.0743713200001,54.81600000000001,8.419,15,2,2347706,67.161376953125,38.4,NA,Low income,Africa
Georgia,93,100,100,94,368474.3048,32.3,53.4,NA,25,73.78360975609756,78.273,58.6,38.3,0.786,8,1,7,11.6,30.3,0.351,46.16856003000001,29.719659810000003,3855.12657822,NA,NA,5,5,3720382,99.6408081054688,16.1,106.77725982666,Lower middle income,Europe
Germany,NA,NA,85,NA,489392.5461,5.7,80.3,NA,7,81.43041463414635,83.849,77.3,45.7,0.939,10,0,10,8.1,21,0.084,47.92692183999999,43.93315887,44754.38809692999,NA,NA,1,6,83132799,NA,0.2,94.5529708862305,High income,Europe
Greece,54,0,33,0,485534.3659,8.6,NA,NA,3,82.34360975609756,84.796,79.1,45.5,0.872,10,0,10,11.9,21.9,0.122,NA,47.31890869,18859.770418220003,NA,NA,3,6,10716322,99.1600036621094,1.6,102.052360534668,High income,Europe
Guatemala,NA,100,85,100,549061.88,78.9,60.6,200,95,74.42397560975611,77.365,51.1,22.9,0.651,9,1,8,26.9,56.7,0.492,63.362686159999996,12.107462879999998,4470.96679839,NA,NA,8,4,16604026,94.354248046875,24.4,51.4381790161133,Upper middle income,Americas
Guinea,NA,NA,100,NA,585448.9349,120,8.7,1900,576,61.962,62.507,36.1,18,0.466,4,0,4,32.2,82.4,NA,78.11681366,17.219434740000004,817.8366048099999,34741.64,12830.210000000001,18,2,12771246,46.295051574707,70.9,NA,Low income,Africa
Guinea-Bissau,70,0,85,50,555105.5766,106.4,16,1000,667,58.634,60.524,43.4,18.8,0.461,7,1,6,37.4,77.2,NA,NA,19.71494484,723.60911733,NA,NA,17,1,1920922,60.4023513793945,85.4,NA,Low income,Africa
Guyana,75,100,70,100,505145.6919,73.7,33.9,100,169,70.023,73.219,26.6,26.7,0.67,8,1,7,18.3,43.2,0.492,76.11744690000002,34.67108917,4661.345114469999,3143.873,528.38,8,4,782766,96.6896667480469,NA,NA,Upper middle income,Americas
Haiti,65,0,85,0,600494.4676,54.8,34.3,1700,480,64.315,66.506,55.3,24,0.503,6,1,5,40,53.8,0.62,58.70770264,18.184814449999998,775.9725321399999,587.585,7.437,11,4,11263077,82.9942474365234,NA,NA,Low income,Americas
Honduras,NA,0,60,0,584118.5435,88.7,73.2,200,65,75.448,77.723,57.1,24.3,0.623,7,0,7,25,49.9,0.479,NA,26.899200439999994,2493.3205284099995,NA,NA,7,4,9746117,96.5158386230469,32.1,NA,Lower middle income,Americas
India,NA,0,100,0,533937.0367,10.7,53.5,NA,145,69.887,71.202,34,28.4,0.647,9,0,9,16.8,40.5,0.501,44.18474579,28.417591089999995,1960.2231890500002,NA,NA,11,3,1366417754,91.6640396118164,61.7,74.954963684082,Lower middle income,South-East Asia
Iran,NA,0,100,0,520080.8705,33.2,77.4,1000,16,76.87,78.088,74.9,32,0.797,0,7,-7,11.3,35.3,0.492,NA,19.34882545,5490.743019109999,NA,NA,9,2,82913906,98.1013488769531,2.7,NA,Upper middle income,Eastern Mediterranean
Iraq,39,0,27,0,535544.0678,82.1,52.8,NA,79,70.748,72.815,70.5,21,0.689,6,0,6,19.4,65.9,0.54,NA,34.99860764,5047.5729728999995,NA,NA,18,2,39309783,93.5,14.8,NA,Upper middle income,Eastern Mediterranean
Japan,83,100,100,100,441726.9646,3.4,39.8,NA,5,84.64929268292684,87.808,91.6,48.4,0.915,10,0,10,3.6,21.3,0.099,NA,38.894382480000004,38121.908688359996,NA,NA,1,3,126264931,NA,0.9,NA,High income,Western Pacific
Kazakhstan,63,0,67,0,423099.0163,25.6,54.8,1000,10,73.57102439024392,77.875,57.4,30.7,0.817,0,6,-6,7.1,44.4,0.203,55.58123779,24.655771259999998,8947.61576851,NA,NA,9,2,18513930,99.8973617553711,0.3,114.718070983887,Upper middle income,Europe
Kyrgyzstan,73,100,70,94,357868.6956,33.9,42,NA,60,71.54021951219514,75.731,36.4,26,0.674,8,0,8,9.5,51.2,0.381,67.46045684999999,37.94158554,1274.24153352,1854.119,NA,12,2,NA,NA,NA,NA,Lower middle income,Europe
Laos,96,100,100,100,512288.4232,83.4,54.1,500,185,68.219,70.061,35,24.4,0.604,0,7,-7,24.8,51.5,0.463,78.17119598,21.968894960000004,2457.3773353500005,329679.022,20193.862,12,3,7169455,NA,56.8,65.0222015380859,Lower middle income,Western Pacific
Latvia,70,100,33,100,449782.6496,16.1,NA,100,19,75.13624390243902,80.124,68.1,43.9,0.854,8,0,8,8.8,25,0.169,41.01863098,37.80587769,15621.30993883,NA,NA,0,5,1912789,99.8199996948242,1.5,108.584571838379,High income,Europe
Liberia,NA,0,85,0,639078.1934,150.3,31.2,1000,661,64.423,65.831,51.2,19.4,0.465,8,1,7,31.8,73.9,0.651,67.71834564,33.37393569999999,694.0120957600001,1273.7450000000001,893.948,12,1,4937374,55.3987007141113,75.6,NA,Low income,Africa
Libya,33,0,0,0,536857.6025,10.9,27.7,100,72,73.082,76.105,80.1,28.8,0.708,-77,-77,-77,NA,42.1,0.172,NA,NA,NA,NA,NA,14,2,6777452,NA,NA,NA,Upper middle income,Eastern Mediterranean
Lithuania,88,100,85,100,456563.4602,12.6,NA,100,8,75.87165853658537,81.514,67.7,45.1,0.869,10,0,10,10.5,22.8,0.124,48.60341263,33.0894165,16696.377301509998,NA,NA,1,5,2786844,99.8557968139648,1.5,106.193626403809,High income,Europe
Malawi,76,100,93,100,654351.3671,137.6,59.2,12000,349,64.694,67.85,16.9,18.1,0.485,6,0,6,28.6,82.1,0.615,NA,30.247175219999995,334.35543056999995,13963.847,NA,13,1,18628747,72.9356079101563,89.6,39.918571472168,Low income,Africa
Malaysia,81,100,85,100,485174.7763,9.3,52.2,1900,29,76.306,78.458,76,30.3,0.804,7,0,7,NA,34.6,0.274,NA,21.869097649999993,9951.44976214,NA,NA,3,2,31949777,96.8503265380859,0.2,85.4141311645508,Upper middle income,Western Pacific
Maldives,45,100,0,81,467043.763,8.9,34.7,NA,53,79.208,81.036,39.8,29.9,0.719,NA,NA,NA,20.4,26.5,0.367,NA,29.628938669999997,11151.068612799998,NA,NA,NA,NA,530953,98.7536468505859,0.2,85.8450012207031,Upper middle income,South-East Asia
Mali,79,0,93,0,574741.1486,164,15.6,NA,562,59.692,60.492,42.4,16.3,0.427,6,1,5,30.4,95.2,0.676,81.79964447,22.909677509999998,827.04870558,8884.923,78.288,15,2,19658031,50.1347007751465,79.8,36.9953689575195,Low income,Africa
Malta,90,100,100,100,476316.0617,12.5,NA,NA,6,82.59539024390246,84.385,94.6,42.6,0.885,NA,NA,NA,7.9,21.8,0.195,NA,35.755859380000004,27679.735817529996,NA,NA,NA,NA,502653,99.3007125854492,0.2,107.358909606934,High income,Europe
Mauritania,62,0,100,0,548238.0303,84,17.8,NA,766,65.129,66.731,53.7,20.1,0.527,0,2,-2,31.8,70.6,0.62,55.878494260000004,28.166452410000005,1108.6861303700002,3698.3779999999997,628.02,16,2,4525696,63.947811126709,24.1,37.1401786804199,Lower middle income,Africa
Mauritius,73,0,70,0,483279.5092,24,63.8,200,61,75.10841463414634,78.577,40.8,37.5,0.796,10,0,10,13.6,25.2,0.369,45.88418198000001,24.59204483,10486.606964130002,810.253,58.222,0,99,1265711,99.0420303344727,2.2,97.7666625976563,Upper middle income,Africa
Mexico,NA,100,100,94,484013.0247,70.5,66.9,NA,33,75.131,77.934,80.2,29.2,0.767,8,0,8,21.7,40.1,0.334,43.692199710000004,25.720029829999998,8967.170008680001,NA,NA,5,4,127575529,99.3184509277344,7.8,109.587608337402,Upper middle income,Americas
Montenegro,52,0,37,0,435407.28,10,23.3,100,6,76.94297560975609,79.422,66.8,38.8,0.816,9,0,9,8.5,27.3,0.119,NA,NA,NA,NA,NA,2,5,622137,99.1100006103516,8,90.524299621582,Upper middle income,Europe
Mozambique,94,100,100,100,555661.3424,180,27.1,53000,289,61.387,64.211,36,17.6,0.446,6,1,5,30.7,85.2,0.569,NA,31.63709068,426.43817671,NA,NA,11,1,30366036,70.9124526977539,82.4,NA,Low income,Africa
Myanmar,82,100,100,100,490014.4974,28,52.2,5500,250,67.363,70.342,30.6,29,0.584,8,0,8,23.2,38.9,0.459,NA,19.74446923,1245.82641081,NA,NA,18,3,54045420,84.7511596679688,15,71.2975311279297,Lower middle income,South-East Asia
Namibia,96,100,100,100,588898.6777,63.9,56.1,2000,195,64.045,66.853,50,21.8,0.645,6,0,6,33.6,62.1,0.46,57.5480957,37.040435790000004,5230.767253530001,1214.983,43.4,5,1,2494530,95.1649017333984,30.3,NA,Upper middle income,Africa
Nepal,48,0,67,0,511311.2706,88.2,52.6,200,186,71.067,72.51,19.7,24.6,0.579,8,1,7,24.9,47.6,0.476,49.06254578,27.52122879,862.8276363299999,1644.3229999999999,169.562,9,3,28608710,92.3938064575195,50.8,NA,Low income,South-East Asia
Netherlands,98,100,100,100,477599.7976,2.9,73,100,5,82.375756097561,84.066,91.5,43.3,0.934,10,0,10,6.7,24.9,0.041,32.7323761,42.502658839999995,48624.10634967,NA,NA,0,6,17332850,NA,0.3,135.008316040039,High income,Europe
New Zealand,94,100,100,100,476625.4164,13.8,NA,100,9,82.38058536585366,84.099,86.5,38,0.921,10,0,10,9.1,30.4,0.133,NA,35.87351608,42935.64044854,NA,NA,2,3,4917000,NA,NA,118.160430908203,High income,Western Pacific
Niger,NA,100,100,100,594170.9263,154,11,200,509,62.792,64.01,16.4,15.2,0.377,6,1,5,27.4,105.4,0.647,60.54183197000001,26.80812454,378.05933557,7792.951999999999,5642.665999999999,19,2,23310715,43.4599990844727,77.2,NA,Low income,Africa
Nigeria,NA,100,100,100,483208.5176,106,27.6,28000,917,55.018,55.969,50.3,18.1,0.534,8,1,7,34.5,82.2,NA,69.34548187,11.575871470000001,1968.4255238799997,48469.8,510.70799999999997,18,1,200963599,75.0287475585938,71,NA,Lower middle income,Africa
Pakistan,65,0,100,0,562398.6999,46,34.2,5600,140,67.428,68.464,36.7,22.8,0.56,7,0,7,30.2,58.4,0.547,56.807952879999995,21.276485440000002,1538.41318756,NA,NA,15,2,216565318,74.5263824462891,35.1,39.1479911804199,Lower middle income,Eastern Mediterranean
Peru,NA,100,93,100,588775.3259,44,75.4,500,88,76.947,79.714,77.9,31,0.759,9,0,9,19.1,39,0.381,NA,21.241369249999998,6657.87567025,NA,NA,6,4,32510453,99.0237579345703,9.9,103.639091491699,Upper middle income,Americas
Philippines,75,100,53,100,558165.86,39,54.1,7300,121,71.36,75.623,46.9,25.7,0.712,8,0,8,17.8,48.4,0.425,51.89413452,19.91103554,2988.951689,NA,NA,14,3,108116615,99.0826034545898,25.8,88.6372528076172,Lower middle income,Western Pacific
Moldova,NA,100,67,NA,435499.3641,21.4,59.5,100,19,71.88653658536586,76.253,42.6,37.6,0.711,9,0,9,10.3,21.8,0.228,NA,30.64774895,2726.18154308,NA,NA,8,5,2657637,99.8110122680664,1,86.453369140625,Lower middle income,Europe
Romania,NA,0,NA,0,459772.7588,38.1,NA,100,19,76.11348780487805,79.642,54,43.2,0.816,9,0,9,10.8,23.5,0.316,36.16465759,33.62890625,10762.24807207,NA,NA,3,5,19356544,99.4291915893555,6.3,89.1825866699219,Upper middle income,Europe
Russian Federation,NA,0,100,0,475349.3846,21.5,68,NA,17,72.49631707317073,77.922,74.4,39.6,0.824,5,1,4,9.6,26.6,0.255,54.57589722,34.73708344,10962.01042658,NA,NA,9,5,144373535,99.6984481811523,0.4,102.168159484863,Upper middle income,Europe
Saint Lucia,NA,100,70,100,NA,NA,NA,NA,NA,NA,NA,18.7,34.5,0.745,NA,NA,NA,16.8,25.9,0.333,NA,24.902803419999994,10120.551989439999,NA,NA,NA,NA,NA,NA,NA,NA,Upper middle income,Americas
Saint Vincent and the Grenadines,81,100,93,100,NA,NA,NA,NA,NA,NA,NA,52.2,32.9,0.728,NA,NA,NA,NA,33.2,NA,NA,30.518869400000007,7144.73721016,NA,NA,NA,NA,NA,NA,NA,NA,Upper middle income,Americas
Sao Tome and Principe,54,100,0,50,543741.4175,92,40.6,NA,130,70.583,73.029,72.8,18.6,0.609,NA,NA,NA,16.7,77.9,0.547,NA,26.398403169999995,1921.28108611,56690.759999999995,3970.7949999999996,NA,NA,215056,97.7825469970703,65.4,NA,Lower middle income,Africa
Saudi Arabia,NA,NA,100,NA,492881.549,8.7,24.6,NA,17,75.28,76.919,83.8,31.8,0.857,0,10,-10,NA,35,0.224,NA,38.68149948000001,19982.099838799997,NA,NA,8,2,34268528,99.3018798828125,NA,106.822601318359,High income,Eastern Mediterranean
Senegal,NA,0,22,0,580495.3182,77.5,27.8,500,315,68.213,70.203,47.2,18.5,0.514,7,0,7,31.6,79.9,0.523,66.36314392,22.30546761,1330.74968752,15164.970000000001,499.04499999999996,10,2,16296364,69.4784088134766,68.4,NA,Low income,Africa
Serbia,86,100,100,50,441716.9818,15.2,58.4,100,12,76.09063414634146,78.752,56.1,41.6,0.799,9,1,8,10.9,23.8,0.162,NA,40.135089869999995,6266.869424300001,NA,NA,3,5,6944975,99.7198181152344,8.9,95.5646591186523,Upper middle income,Europe
Sierra Leone,65,0,100,0,556228.5143,101.3,22.5,1800,1120,55.066,55.875,42.1,19.4,0.438,8,1,7,34.6,73.4,0.644,NA,23.305507659999996,494.76595671999996,NA,NA,13,1,7813215,66.6485977172852,76,NA,Low income,Africa
Slovenia,NA,NA,100,NA,455624.9387,4.1,NA,NA,7,81.39834146341464,84.156,54.5,44.5,0.902,10,0,10,4.7,23,0.069,41.46148682000001,43.17309189000001,23455.204558760008,NA,NA,0,5,2087946,99.8000030517578,0,115.907737731934,High income,Europe
Somalia,NA,0,0,0,589107.0659,123,NA,100,829,57.697,59.443,45,16.7,NA,5,0,5,NA,92.1,NA,NA,NA,NA,NA,NA,20,2,15442905,NA,NA,NA,Low income,Eastern Mediterranean
South Africa,95,100,85,100,525165.2558,40.9,54.6,70000,119,64.379,67.93,66.4,27.6,0.705,9,0,9,31.4,44.3,0.422,NA,32.632942199999995,6153.460441759999,NA,NA,8,1,58558270,95.3238220214844,37.3,103.968086242676,Upper middle income,Africa
South Sudan,16,0,7,44,657024.0043,158.1,4,5300,1150,58.095,59.64,19.6,19,0.413,-77,-77,-77,36,76.3,NA,71.72076415999999,39.123569489999994,234.49017952000003,252.38400000000001,NA,22,1,11062113,47.9009590148926,67,NA,Low income,Africa
Sri Lanka,89,100,100,100,469174.5252,21,61.7,100,36,77.00826829268293,80.399,18.5,34,0.78,7,1,6,11.8,37,0.38,38.09249878,19.32119942,4184.39127442,34306.240000000005,3156.8129999999996,11,3,21803000,98.7819366455078,10.8,102.632118225098,Lower middle income,South-East Asia
Palestine,60,0,85,0,NA,NA,NA,NA,NA,NA,NA,76.2,20.8,0.69,NA,NA,NA,13.5,67.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sudan,57,0,45,0,601819.3781,86.8,12.2,1000,295,65.53,67.429,34.6,19.7,0.508,0,4,-4,34.3,72.5,0.56,NA,13.78572273,3055.8011937200004,NA,NA,21,1,42813238,73,44,NA,Lower middle income,Eastern Mediterranean
Suriname,45,0,20,0,508090.2086,56.7,47.6,100,120,71.802,75.195,66.1,29,0.724,6,1,5,21.9,41.2,0.465,46.63601685,30.977457050000005,5446.87815175,NA,NA,5,4,581372,98.6455612182617,NA,NA,Upper middle income,Americas
Sweden,100,100,100,100,511871.0176,4.6,NA,NA,4,82.90119512195123,84.678,87.4,41.1,0.937,10,0,10,6.6,28.2,0.04,NA,49.32971191,53586.71098525,NA,NA,0,6,10285453,NA,0.3,156.674957275391,High income,Europe
Switzerland,92,100,100,100,489115.7229,2.4,72.9,NA,5,83.83717073170732,85.72,73.8,43.1,0.946,10,0,10,6.7,22.4,0.037,39.02016068,34.15170288,80641.50619473001,NA,NA,1,6,8574832,NA,0,99.9420623779297,High income,Europe
Syrian Arab Republic,77,100,93,94,521191.1121,54,53.9,100,31,73.651,78.419,54.2,25.6,0.549,0,9,-9,NA,49,0.547,NA,NA,NA,NA,NA,14,2,17070135,NA,NA,NA,Low income,Eastern Mediterranean
Togo,73,0,100,0,619328.4516,88.7,19.9,1200,396,61.34,62.239,41.7,19.4,0.513,1,3,-2,31.5,74.1,0.566,69.71318054000001,21.663825990000003,613.7371644699999,3308.3900000000003,772.0930000000001,13,1,8082366,84.2901077270508,74.2,NA,Low income,Africa
Trinidad and Tobago,32,100,0,100,472637.0176,38,40.3,100,67,73.628,76.352,53.2,36.2,0.799,10,0,10,NA,29.7,0.324,62.40208054,33.1157341,16107.382407529998,NA,NA,3,4,1394973,99.5999984741211,NA,NA,High income,Americas
Tunisia,NA,0,NA,0,491751.4316,4,62.5,100,43,76.891,78.903,68.9,32.8,0.739,7,0,7,20.2,35.8,0.3,43.493026730000004,30.315225599999998,3464.4133348999994,340.847,49.521,4,2,11694719,96.209098815918,3,NA,Lower middle income,Eastern Mediterranean
Turkey,NA,NA,85,NA,520253.736,20.9,73.5,NA,17,77.928,80.769,75.1,31.5,0.807,0,4,-4,16,36.9,0.305,NA,33.816757200000005,10546.05632028,NA,NA,9,2,83429615,NA,1.5,103.178749084473,Upper middle income,Europe
Ukraine,88,100,100,100,457822.5992,19.1,65.4,1300,19,71.97465853658537,76.966,69.4,41.2,0.75,5,1,4,6.5,23.3,0.284,NA,41.482170100000005,2536.1083493900005,NA,NA,9,5,44385155,99.9697570800781,0.3,NA,Lower middle income,Europe
United Kingdom,92,100,100,100,524092.2485,12.4,84,NA,7,81.37129268292684,83.06,83.4,40.5,0.92,8,0,8,8,27.7,0.119,NA,40.815822600000004,40062.257566789995,NA,NA,1,6,66834405,NA,0.3,122.352378845215,High income,Europe
Tanzania,NA,100,100,100,582583.1133,138.9,38.4,24000,524,65.815,67.587,33.8,18,0.528,4,1,3,24.9,82.7,0.539,45.32165527,16.55883789,930.3807550200002,267091.2,58988.21,10,1,58005463,85.7551422119141,76.8,30.1285190582275,Low income,Africa
